district,latitude,longitude,aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
Dhaka,23.756223,90.5703,0.038,0.8909,0.00783,0.3353,0.00115,0.5745,0.0073,0.5542,0.1564,0.0,0.0,0.02576,1.968,0.1518,0.000108,4.271,0.4266,0.00812,0.00294,0.00117,0
Dhaka,23.635837,90.317861,0.102,0.4131,0.07772,0.2334,0.00189,0.1266,0.00338,0.4755,0.8271,1.0,0.0,0.0088,2.576,0.1979,9.1e-05,3.877,0.3827,0.00235,0.00383,0.00339,0
Dhaka,23.650799,90.616225,0.3988,0.3052,0.00964,0.3722,0.00505,0.4623,0.00441,0.4448,0.3629,0.0,0.0,0.00274,11.984,0.178,0.000133,1.489,0.6186,0.00542,0.00635,0.00337,0
Dhaka,24.052421,90.581449,0.2366,0.0,0.04182,0.1065,0.00045,0.4837,0.00727,0.141,0.4993,0.0,0.0,0.00479,10.377,0.1342,4.6e-05,1.727,0.2509,0.01112,0.00218,0.00061,0
Dhaka,24.017423,90.343197,0.2189,0.6725,0.17557,0.3297,0.00552,0.9512,0.00413,0.3711,0.4279,1.0,0.0,0.00278,10.506,0.1231,0.000128,2.106,0.1574,0.00294,0.00244,0.00109,0
Dhaka,23.822195,90.382381,0.6171,1.1555,0.10839,0.4083,0.00042,0.6333,0.00787,0.1742,0.4426,1.0,0.0,0.00362,0.0,0.0092,0.000353,1.625,0.2519,0.00548,0.00135,0.00231,0
Dhaka,23.97511,90.360592,0.5164,0.9055,0.01684,0.1943,0.00174,0.471,0.00283,0.1183,0.133,1.0,0.0,0.00248,8.464,0.1826,0.00011,3.696,0.0,0.00588,0.00131,0.00431,0
Dhaka,23.941803,90.232057,0.4044,1.0041,0.03881,0.3256,0.00113,0.0,0.00159,0.3632,0.6055,0.0,0.0,0.00644,10.413,0.1136,4.4e-05,1.022,0.3392,0.00503,0.00189,0.00094,0
Dhaka,23.88571,90.576871,0.1249,0.3253,0.04909,0.328,0.00059,1.2897,0.00587,0.2489,0.4165,0.0,0.0,0.00242,9.931,0.0,0.000125,3.054,0.1048,0.00176,0.00156,0.00067,0
Dhaka,23.891836,90.630415,0.1271,1.1109,0.02013,0.2948,0.00547,0.0289,0.00914,0.7542,0.4119,1.0,0.0,0.00743,8.801,0.0924,0.000116,2.973,0.4265,0.01212,0.00353,0.00107,0
Dhaka,23.740487,90.207791,0.3222,0.7802,0.03769,0.2895,0.00135,0.7045,0.00733,0.0678,0.7289,1.0,0.0,0.01098,8.483,0.188,0.000236,3.053,0.0838,0.00463,0.00284,0.0007,0
Dhaka,23.991021,90.584275,0.1091,0.8411,0.08473,0.272,0.00107,0.8196,0.00984,0.3121,1.0341,1.0,0.0,0.00526,3.936,0.1066,9.3e-05,2.89,0.3534,0.0046,0.00415,0.00062,0
Dhaka,24.029534,90.561392,0.1781,1.2922,0.02644,0.0983,0.00276,0.4358,0.00305,0.2163,0.2988,0.0,0.0,0.02155,11.637,0.1054,9e-05,1.002,0.6101,0.00258,0.00244,0.00173,0
Dhaka,24.032366,90.395701,0.1459,0.5239,0.01629,0.2065,0.00112,0.6899,0.00262,0.2889,0.4088,0.0,0.0,0.00999,7.53,0.1666,0.000538,2.471,0.1335,0.00834,0.00504,0.00107,0
Dhaka,23.671909,90.430487,1.1142,0.7918,0.13795,0.2735,0.00111,0.8565,0.00648,0.2403,0.1862,1.0,0.0,0.00494,13.184,0.0887,0.000151,2.224,0.1965,0.00264,0.00244,0.00441,0
Dhaka,23.800293,90.458204,0.3348,0.9843,0.02704,0.46,0.00138,0.382,0.00726,0.6339,1.0146,0.0,0.0,0.00505,10.177,0.2084,0.00024,1.183,0.5413,0.00603,0.00228,0.00164,0
Dhaka,23.976067,90.415734,0.7882,0.8665,0.04661,0.2857,0.00074,0.29,0.00487,0.4558,0.7824,0.0,0.0,0.03803,6.186,0.2145,0.000141,0.973,0.5147,0.00457,0.00198,0.00169,0
Dhaka,23.732942,90.472458,0.0384,1.1251,0.02558,0.366,0.00062,0.4702,0.00148,0.2996,0.2936,0.0,1.0,0.00639,7.509,0.3066,0.000382,2.872,0.0439,0.00625,0.0028,0.00107,0
Dhaka,23.769864,90.481263,0.5454,0.7551,0.0118,0.3514,0.00038,0.932,0.00386,0.4914,0.7709,0.0,0.0,0.00893,3.232,0.1259,0.000293,2.709,0.3393,0.00535,0.00342,0.00334,0
Dhaka,23.618654,90.224593,0.0492,0.7982,0.02328,0.2322,0.00164,0.1525,0.00299,0.0,0.1248,1.0,0.0,0.00391,13.204,0.1628,8.3e-05,1.952,0.1066,0.00645,0.00367,0.00194,0
Dhaka,23.869078,90.513232,0.3726,1.2476,0.03352,0.2143,0.00045,0.6906,0.01438,0.5145,1.0198,0.0,0.0,0.0039,6.108,0.1253,0.000104,2.393,0.4396,0.00712,0.00255,0.00102,0
Dhaka,23.729725,90.569413,0.3133,1.1068,0.11475,0.3784,0.00058,0.1932,0.00327,0.2853,0.5927,0.0,0.0,0.00789,6.79,0.3236,9.2e-05,2.12,0.3076,0.01478,0.00588,0.00195,0
Dhaka,23.596099,90.177326,0.5157,1.5383,0.03256,0.5526,0.00039,0.914,0.00478,0.3082,0.9236,0.0,0.0,0.02373,0.0,0.1017,5.1e-05,0.424,0.4305,0.00399,0.00227,0.00255,0
Dhaka,23.926557,90.227784,0.0228,0.7765,0.05939,0.4723,0.00133,0.6431,0.00701,0.0521,0.4913,1.0,0.0,0.01722,7.043,0.1474,9.9e-05,2.347,0.2065,0.00209,0.0013,0.00302,0
Dhaka,23.678025,90.198748,0.1687,0.7642,0.04254,0.2518,0.00261,0.4888,0.0032,0.8153,0.7146,0.0,0.0,0.00478,0.868,0.0,0.000206,1.804,0.2482,0.00529,0.00415,0.00174,0
Dhaka,23.825585,90.630303,0.1996,1.235,0.07188,0.4662,0.00183,0.6487,0.01763,0.192,0.7838,0.0,0.0,0.00889,5.677,0.2416,2.2e-05,2.217,0.2619,0.00217,0.00181,0.00474,0
Dhaka,24.032307,90.503624,0.0892,0.6779,0.27358,0.3454,0.00143,0.7892,0.01282,0.2491,0.5808,0.0,0.0,0.01742,5.77,0.2606,6.2e-05,2.454,0.6227,0.00498,0.00291,0.00194,0
Dhaka,23.723517,90.495797,0.0705,0.4559,0.06451,0.5392,0.00081,1.1757,0.0019,0.2306,0.3026,0.0,0.0,0.00745,8.805,0.135,0.000125,3.01,0.6284,0.00112,0.0018,0.00068,0
Dhaka,23.749893,90.593667,0.3503,0.0,0.00542,0.3892,0.00187,0.4705,0.01077,0.5707,0.8277,1.0,0.0,0.00181,15.164,0.011,0.000533,1.719,0.1492,0.00484,0.00261,0.00145,0
Dhaka,23.702436,90.315645,0.1028,0.912,0.04619,0.3158,0.00046,0.9092,0.00601,0.1332,0.4196,0.0,0.0,0.0143,11.568,0.051,0.000108,2.552,0.2961,0.00495,0.00112,0.00196,0
Dhaka,23.581706,90.478576,0.1282,0.2062,0.04411,0.1922,0.00034,0.5929,0.00171,0.579,0.5115,0.0,0.0,0.00396,8.173,0.0798,0.000353,4.145,0.1329,0.00864,0.00177,0.00178,0
Dhaka,23.928437,90.593399,1.7573,0.5092,0.03449,0.1794,0.00062,0.1956,0.00384,0.7278,1.1033,1.0,0.0,0.03949,5.481,0.2464,5.4e-05,1.796,0.2242,0.00293,0.00329,0.00399,0
Dhaka,23.673328,90.339498,0.301,1.0694,0.04111,0.4842,0.00115,0.2238,0.00101,0.1581,1.1018,1.0,0.0,0.00194,2.92,0.1734,0.000203,2.076,0.4117,0.00525,0.00174,0.00145,0
Dhaka,23.660467,90.429914,0.2499,0.407,0.03659,0.6479,0.00042,0.1006,0.00955,0.4787,0.6576,0.0,0.0,0.01097,2.384,0.2591,0.000102,2.957,0.4416,0.00339,0.00265,0.00137,0
Dhaka,23.603821,90.630479,0.2062,1.0683,0.00921,0.4379,0.00091,0.2305,0.00433,0.3419,0.6802,0.0,0.0,0.04951,8.032,0.1889,0.000204,1.244,0.265,0.00496,0.00177,0.00273,0
Dhaka,23.73305,90.649805,0.0781,0.8322,0.09535,0.1402,0.00241,0.0,0.00412,0.339,0.4171,1.0,0.0,0.01296,7.899,0.1475,0.000172,2.487,0.2859,0.00365,0.00255,0.00207,0
Dhaka,23.779756,90.214832,0.1752,0.0,0.0152,0.2418,0.00101,0.7803,0.00266,0.4341,0.6482,0.0,0.0,0.02221,8.4,0.1287,0.000101,0.515,0.4899,0.00409,0.00308,0.00307,0
Dhaka,23.625355,90.605302,0.3053,0.7863,0.0134,0.0782,0.00061,0.22,0.00279,0.4367,0.5954,0.0,0.0,0.01237,5.101,0.2041,2.6e-05,1.841,0.5393,0.00579,0.00263,0.00084,0
Dhaka,23.635024,90.324338,0.9616,0.816,0.03483,0.4017,0.00057,0.274,0.00267,0.3024,1.2472,0.0,0.0,0.0057,12.847,0.2971,0.00023,3.562,0.5603,0.00284,0.00359,0.0018,0
Dhaka,23.635085,90.530717,0.1319,0.6387,0.20025,0.143,0.00036,0.4248,0.00947,0.5073,0.9557,1.0,1.0,0.00781,6.546,0.1135,6.9e-05,3.501,0.0156,0.00629,0.00408,0.00095,0
Dhaka,23.867506,90.549317,0.335,0.6894,0.0576,0.3807,0.00095,0.417,0.01191,0.6145,0.4905,1.0,0.0,0.01415,14.66,0.0856,0.000145,0.897,0.7112,0.00247,0.00147,0.00046,0
Dhaka,24.003462,90.484905,0.4017,1.4191,0.07962,0.3994,0.00077,0.5064,0.00576,0.6347,0.6543,0.0,0.0,0.00845,3.668,0.1333,0.000324,2.586,0.1943,0.00188,0.00303,0.00102,0
Dhaka,23.926401,90.433119,0.0838,1.3983,0.0485,0.2686,0.00225,0.3171,0.00371,0.2299,0.4258,1.0,0.0,0.00914,16.407,0.2253,0.000185,2.445,0.0608,0.00582,0.00571,0.00191,0
Dhaka,23.837113,90.164615,0.1621,0.5179,0.02135,0.3337,0.00151,0.5554,0.01369,0.5865,0.1745,0.0,0.0,0.00475,8.593,0.0613,9.9e-05,4.558,0.1896,0.00142,0.00116,0.00321,0
Dhaka,23.849992,90.442742,0.1553,0.7587,0.20811,0.4045,0.00051,0.4635,0.00363,0.5911,0.6265,0.0,0.0,0.00434,10.833,0.2278,0.000123,0.133,0.1566,0.00992,0.0014,0.00134,0
Dhaka,23.859113,90.529832,0.7669,1.0568,0.01763,0.2267,0.0007,0.3402,0.01529,0.1761,0.6423,0.0,0.0,0.00313,13.416,0.1274,0.000237,0.405,0.2068,0.00141,0.00291,0.00138,0
Dhaka,23.789093,90.403484,0.5954,1.5463,0.03913,0.285,0.00045,0.4187,0.00699,0.3593,0.3366,0.0,0.0,0.0098,13.089,0.0898,0.000148,1.197,0.4827,0.00249,0.00221,0.00187,0
Dhaka,23.592683,90.405786,0.0818,0.9003,0.00575,0.344,0.00031,0.8446,0.00713,0.1287,0.7399,0.0,0.0,0.01018,9.536,0.1567,9e-05,1.19,0.1531,0.004,0.00111,0.00302,0
Dhaka,23.821695,90.219384,0.4599,0.477,0.05637,0.0,0.00043,0.2602,0.00555,0.1981,0.7857,1.0,0.0,0.00722,8.772,0.0672,2.1e-05,3.375,0.2634,0.01404,0.0025,0.00097,0
Dhaka,23.642353,90.327108,2.8705,1.7366,0.04412,0.3448,0.00169,0.824,0.0036,0.2496,0.4721,1.0,0.0,0.00193,12.499,0.1208,0.000118,1.332,0.4838,0.00814,0.00262,0.00063,0
Dhaka,23.958957,90.359985,0.3131,0.7064,0.04223,0.6094,0.00072,0.7957,0.00209,0.1865,0.6073,1.0,0.0,0.01536,9.411,0.0856,9.7e-05,2.428,0.0875,0.00954,0.00238,0.00197,0
Dhaka,23.641117,90.168304,0.6402,0.3003,0.10342,0.149,0.00116,0.3486,0.0046,0.628,0.9951,0.0,0.0,0.00508,16.358,0.1694,0.000103,1.977,0.5594,0.00381,0.00086,0.00104,0
Dhaka,23.916007,90.574989,0.158,0.9416,0.03304,0.3606,0.00214,0.4223,0.00822,0.3952,0.3289,1.0,0.0,0.00521,4.533,0.3115,0.000307,2.201,0.2071,0.00496,0.00137,0.00307,0
Dhaka,23.67359,90.580521,0.33,1.3535,0.08031,0.3952,0.00131,0.4639,0.00522,0.6219,0.7229,0.0,0.0,0.00392,0.616,0.05,0.000137,1.025,0.2735,0.00354,0.00347,0.0047,0
Dhaka,23.833324,90.3522,0.3651,0.7903,0.02607,0.1597,0.00131,0.409,0.00685,0.6172,0.4392,0.0,0.0,0.00476,5.638,0.2209,0.000106,1.651,0.2553,0.00664,0.00298,0.00453,0
Dhaka,23.710633,90.461179,0.5652,0.473,0.01722,0.1609,0.00085,0.0,0.00429,0.4477,0.8926,0.0,1.0,0.02648,1.729,0.245,0.000112,2.678,0.0,0.00552,0.00273,0.00274,0
Dhaka,23.94694,90.462962,0.1137,0.4288,0.03583,0.6256,0.00096,0.104,0.00344,0.3648,0.637,0.0,0.0,0.0122,9.811,0.314,4.7e-05,2.195,0.1755,0.00569,0.00253,0.00416,0
Dhaka,23.796247,90.184824,0.0695,0.9066,0.02837,0.2536,0.00032,0.2744,0.00433,0.2496,0.6958,0.0,0.0,0.0063,3.23,0.0094,0.000195,2.671,0.268,0.00913,0.00097,0.00161,0
Dhaka,23.616919,90.334612,0.3352,0.0,0.0946,0.0628,0.00026,0.2843,0.00493,0.579,0.4551,0.0,0.0,0.00201,6.085,0.0792,4.8e-05,1.109,0.2463,0.00446,0.00555,0.00258,0
Dhaka,23.620513,90.371474,0.2265,0.7834,0.03601,0.4062,0.00043,0.4376,0.00381,0.4466,0.8859,1.0,0.0,0.0096,6.307,0.1669,0.000288,2.109,0.0713,0.00486,0.00182,0.00187,0
Dhaka,23.70752,90.405,0.9233,0.7328,0.02579,0.121,0.0018,0.7432,0.0026,0.5838,0.9002,1.0,0.0,0.00337,6.371,0.2766,0.000159,2.26,0.3577,0.00273,0.00497,0.00129,0
Dhaka,23.719433,90.453099,0.4163,0.1828,0.11356,0.4965,0.00042,0.3223,0.00329,0.6791,0.4313,0.0,0.0,0.00485,0.0,0.0409,0.000108,3.616,0.493,0.0036,0.00107,0.00093,0
Dhaka,24.054018,90.389001,0.166,0.7463,0.02093,0.2612,0.00067,0.6343,0.00384,0.7197,0.7683,0.0,1.0,0.00677,7.696,0.2046,0.000116,2.37,0.5346,0.00342,0.00351,0.00123,0
Dhaka,23.752756,90.332194,0.1358,0.0,0.01539,0.2748,0.00026,0.4142,0.00235,0.3056,0.0062,0.0,0.0,0.01006,6.572,0.2138,8.9e-05,1.081,0.7148,0.0064,0.00145,0.00174,0
Dhaka,24.056924,90.602157,0.3244,0.9886,0.09651,0.4629,0.00581,0.4912,0.00488,0.4196,0.6924,0.0,0.0,0.00619,13.833,0.1035,5e-05,1.63,0.4243,0.00323,0.00284,0.00122,0
Dhaka,23.801704,90.593774,0.2668,0.7025,0.00968,0.2918,0.0002,0.8401,0.00856,0.4571,0.7563,1.0,0.0,0.02023,11.048,0.0904,0.000811,1.849,0.2605,0.00602,0.00327,0.00159,0
Dhaka,23.983484,90.608545,0.309,0.4793,0.06431,0.1543,0.002,0.6296,0.00238,0.1241,0.412,0.0,0.0,0.00494,0.0,0.1481,0.000218,2.516,0.445,0.00686,0.00399,0.00205,0
Dhaka,23.936714,90.546461,0.1988,0.0,0.10355,0.1811,0.00081,0.2712,0.00255,0.3384,0.0319,0.0,0.0,0.00333,8.833,0.1473,7.9e-05,2.938,0.4318,0.00464,0.00248,0.00092,0
Dhaka,23.676192,90.302502,0.0783,1.0382,0.07767,0.0,0.00095,0.6516,0.01059,0.4368,1.1402,0.0,0.0,0.0025,5.225,0.2135,0.000146,1.026,0.4614,0.00859,0.00275,0.00112,0
Dhaka,23.83625,90.422085,0.5471,0.1271,0.05475,0.3,0.00063,0.2542,0.0023,0.3981,0.5016,1.0,0.0,0.00486,3.964,0.0805,0.000135,1.696,0.1684,0.00449,0.00374,0.00089,0
Dhaka,23.981356,90.318674,0.2004,1.1079,0.04935,0.5134,0.0011,0.8612,0.00074,0.5852,0.8896,0.0,0.0,0.0062,6.774,0.189,8.7e-05,1.684,0.1765,0.00858,0.00259,0.00169,0
Dhaka,23.584093,90.342025,0.7132,0.0231,0.04002,0.349,0.00064,0.7454,0.00298,0.4601,0.7867,0.0,0.0,0.00254,8.405,0.0949,0.000113,0.928,0.4341,0.00206,0.00417,0.00144,0
Dhaka,23.6283,90.48782,0.1959,2.0063,0.01995,0.3061,0.00072,0.7354,0.00279,0.1996,0.8222,0.0,0.0,0.01123,10.502,0.0599,0.000177,1.809,0.0,0.003,0.00221,0.00083,0
Dhaka,23.564962,90.394048,0.3582,0.8867,0.04073,0.2469,0.00124,0.5732,0.00655,0.2853,0.6306,0.0,0.0,0.01197,8.188,0.2215,0.000125,2.051,0.333,0.01035,0.00133,0.00062,0
Dhaka,23.950188,90.390998,0.2684,1.0491,0.01111,0.111,0.00081,0.842,0.00415,0.2767,0.4874,1.0,0.0,0.00181,2.686,0.1397,0.000334,2.247,0.0777,0.00338,0.0047,0.0021,0
Dhaka,23.754083,90.499065,1.1872,0.0,0.02091,0.0589,0.00073,0.96,0.00228,0.4369,1.2071,0.0,0.0,0.00634,0.97,0.2487,0.000135,3.373,0.2639,0.0041,0.00225,0.00121,0
Dhaka,23.58195,90.244875,0.075,1.1599,0.0128,0.3285,0.0003,0.112,0.01686,0.2676,0.7278,1.0,0.0,0.01079,4.933,0.1071,0.000163,1.809,0.6609,0.00413,0.0018,0.00201,0
Dhaka,23.8933,90.24335,0.276,0.4753,0.13113,0.2345,0.00169,0.8964,0.00294,0.3868,1.2299,0.0,1.0,0.01093,7.422,0.025,9.4e-05,1.819,0.4488,0.00352,0.00207,0.00102,0
Dhaka,23.756229,90.539132,0.104,0.3506,0.00899,0.2389,0.00039,0.1009,0.00413,0.5373,0.6318,0.0,0.0,0.01376,10.03,0.0,0.000191,2.104,0.6234,0.0058,0.00666,0.00059,0
Dhaka,24.007047,90.635228,0.1594,0.0,0.03438,0.0,0.00038,0.5959,0.0076,0.4398,0.731,0.0,0.0,0.00667,9.687,0.0049,0.000153,3.193,0.436,0.00521,0.0046,0.00079,0
Dhaka,23.772614,90.180786,0.089,1.1917,0.05283,0.3999,0.00043,0.4245,0.00658,0.4925,0.0823,1.0,0.0,0.00692,4.051,0.0824,6.4e-05,2.462,0.2071,0.00272,0.0045,0.00083,0
Dhaka,23.963347,90.654429,0.6847,1.1034,0.0248,0.3976,0.00051,0.445,0.00548,0.0994,0.9156,0.0,0.0,0.00353,11.689,0.1585,0.000169,5.11,0.6991,0.00225,0.00205,0.00175,0
Dhaka,23.973753,90.510605,0.0925,1.1478,0.03095,0.3659,0.00164,0.7547,0.00276,0.5558,0.7373,0.0,0.0,0.00944,13.181,0.2166,8.5e-05,1.613,0.0817,0.01116,0.00247,0.00225,0
Dhaka,23.752178,90.174597,0.3125,1.33,0.01188,0.3738,0.00092,0.6851,0.00667,0.2948,0.0,0.0,0.0,0.00701,4.572,0.2001,8.3e-05,1.608,0.4387,0.00789,0.00195,0.0009,0
Dhaka,23.685234,90.474437,0.0756,0.7221,0.10547,0.0716,0.00026,0.3355,0.00199,0.6225,0.4112,0.0,1.0,0.00756,7.045,0.1131,0.000158,3.236,0.0767,0.01026,0.0019,0.00054,0
Dhaka,24.032224,90.482867,0.2146,0.0517,0.09779,0.3049,0.00046,0.305,0.0052,0.2483,0.5309,1.0,0.0,0.0083,11.794,0.1087,6.9e-05,1.07,0.0,0.00235,0.00387,0.0028,0
Dhaka,23.662666,90.40352,0.6521,1.3088,0.01913,0.1051,0.00062,0.5814,0.01319,0.5659,0.8434,0.0,0.0,0.00776,1.984,0.0778,0.000105,1.082,0.0755,0.00205,0.00373,0.00378,0
Dhaka,24.033367,90.214953,0.3367,0.9127,0.06218,0.3858,0.00078,0.3891,0.0014,0.3876,0.9373,1.0,0.0,0.01717,7.362,0.2547,0.00012,1.826,0.2953,0.00334,0.00329,0.00082,0
Dhaka,24.017274,90.37901,0.2755,1.141,0.0282,0.3441,0.00037,0.9462,0.00287,0.3531,0.3649,0.0,1.0,0.02035,0.0,0.325,0.000187,1.284,0.2866,0.0027,0.00157,0.00091,0
Dhaka,23.896436,90.202575,0.23,0.6846,0.05966,0.4025,0.00168,0.936,0.0024,0.3581,0.9219,0.0,0.0,0.0025,7.888,0.1982,0.00021,2.722,0.3608,0.01688,0.00167,0.00066,0
Dhaka,23.875124,90.286192,0.048,1.1952,0.02464,0.2979,0.0007,0.602,0.00416,0.2621,0.4521,0.0,0.0,0.0134,12.878,0.095,0.00012,1.72,0.2442,0.00972,0.00132,0.00245,0
Dhaka,23.967063,90.504567,0.3457,0.8876,0.03069,0.3823,0.00035,1.3956,0.00573,0.349,0.5624,0.0,0.0,0.01824,3.551,0.4449,5.6e-05,1.149,0.254,0.00498,0.00259,0.0004,0
Dhaka,23.656932,90.591408,0.107,0.6915,0.08362,0.2374,0.00127,0.4075,0.00603,0.341,0.8927,0.0,0.0,0.00273,7.931,0.3557,7.1e-05,0.741,0.1581,0.00709,0.00133,0.00155,0
Dhaka,23.819612,90.465876,0.3047,0.3373,0.01329,0.1698,0.0003,0.5766,0.01514,0.5069,0.0,1.0,0.0,0.03582,3.741,0.2521,4e-05,2.086,0.0972,0.0041,0.00292,0.00262,0
